full_address,nearest_mrt_station,distance,num_mrt_2km
540 BEDOK NTH ST 3,Bedok North,0.6414039248385597,5
251 JURONG EAST ST 24,Chinese Garden,0.7936539430219726,3
501D WELLINGTON CIRCLE,Sembawang,0.3385939083072166,1
497F TAMPINES ST 45,Tampines East,0.5486525594181084,5
827 YISHUN ST 81,Khatib,0.29689235751584925,2
25 EUNOS CRES,Eunos,0.40150892065923127,6
262B COMPASSVALE ST,Sengkang,0.37795132705158335,3
186 BOON LAY AVE,Boon Lay,1.007545113740639,3
5 MARSILING DR,Marsiling,0.8022051858313964,3
889B WOODLANDS DR 50,Woodlands,0.7279348736619066,2
428 CHOA CHU KANG AVE 4,Choa Chu Kang,0.6669556650084338,2
4 JOO CHIAT RD,Eunos,0.6556503674431428,7
164A RIVERVALE CRES,Sengkang,1.3250270806710194,3
381 CLEMENTI AVE 5,Clementi,0.5005881820101582,2
412 C'WEALTH AVE WEST,Clementi,0.7404139682612442,2
619A PUNGGOL DR,Punggol,1.047980489641758,1
98 ALJUNIED CRES,Aljunied,0.5852257068906329,11
411 BT BATOK WEST AVE 4,Bukit Gombak,0.858926987812566,2
412A FERNVALE LINK,Buangkok,1.8517403051760322,2
211 CHOA CHU KANG CTRL,Choa Chu Kang,0.5555374203145668,3
6 JLN BATU,King Albert Park,0.527674123992848,3
325A SENGKANG EAST WAY,Sengkang,0.5523598381995604,3
55 TELOK BLANGAH DR,Telok Blangah,0.4340928621806796,4
3 BEACH RD,Esplanade,0.13648832569778918,21
511 CHOA CHU KANG ST 51,Choa Chu Kang,0.5779654497786341,2
223A JURONG EAST ST 21,Chinese Garden,0.47899086836714316,4
325 CLEMENTI AVE 5,Clementi,0.1758196999419077,2
104 ALJUNIED CRES,Aljunied,0.3986592409907081,10
847 TAMPINES ST 83,Tampines West,0.8440990250073088,3
274C COMPASSVALE BOW,Buangkok,0.259948004984303,3
805 TAMPINES AVE 4,Tampines West,0.11005693811346524,4
635 BEDOK RESERVOIR RD,Ubi,0.6681462704489054,8
339B SEMBAWANG CL,Sembawang,0.3043303876668764,1
666A JURONG WEST ST 65,Pioneer,0.49930969693712896,2
468A ADMIRALTY DR,Sembawang,0.7208536838233495,1
46 CIRCUIT RD,Mattar,0.3155739632396205,9
161 BISHAN ST 13,Bishan,0.9845812959036017,7
605 CHOA CHU KANG ST 62,Yew Tee,0.44866532519064445,2
603 WOODLANDS DR 42,Woodlands,1.1156500033613534,2
7 PINE CL,Mountbatten,0.1932288735653376,7
134 JLN BT MERAH,Tiong Bahru,0.8595634836228955,5
272B JURONG WEST ST 24,Boon Lay,1.320214255672607,3
406 BEDOK NTH AVE 3,Bedok,0.6626512409883376,5
82B LOR 4 TOA PAYOH,Toa Payoh,0.38907851422036954,6
467 JURONG WEST ST 41,Lakeside,0.6098560691190306,2
423 PASIR RIS DR 6,Pasir Ris,0.6942044920732084,2
421 JURONG WEST ST 42,Lakeside,0.9808843808181985,2
486 ADMIRALTY LINK,Sembawang,0.8805485462477517,1
613C PUNGGOL DR,Punggol,0.7133704026573827,1
524 JELAPANG RD,Bukit Panjang,0.9418917839832355,2
104A DEPOT RD,Telok Blangah,1.1049755398759813,6
266C PUNGGOL WAY,Punggol,0.5076794717711076,2
31 HOLLAND CL,Holland Village,0.47164127190892075,6
468 SEGAR RD,Bukit Panjang,1.5889344849628366,1
337 SEMBAWANG CRES,Sembawang,0.5910672446305958,1
321 HOUGANG AVE 5,Hougang,0.7939343028989851,3
19 HOLLAND DR,Dover,0.4872036744018712,5
248 KIM KEAT LINK,Toa Payoh,0.945633985930298,7
408 TAMPINES ST 41,Tampines,0.5235090199827932,5
654 YISHUN AVE 4,Yishun,0.9440672804010132,2
544 HOUGANG AVE 8,Buangkok,0.5274014512622623,3
